date,url,title,address
"March 20, 2026",https://whatnow.com/seattle/restaurants/pour-decisions-taphouse-brings-self-pour-sports-bar-to-woodinville/,Pour Decisions Taphouse: Woodinville’s Self-Pour Sports Bar,"17401 133rd Ave. NE, C104 Woodinville, WA 98072"
"March 20, 2026",https://whatnow.com/miami/restaurants/mcdonalds-is-planning-a-krome-avenue-restaurant/,McDonald's is Planning a Krome Avenue Restaurant,"500 S Krome Ave, Homestead, FL 33030"
"March 20, 2026",https://whatnow.com/miami/restaurants/cookie-head-is-coming-to-miramar/,Cookie Head is Coming to Miramar,"3 Main St, Miramar, FL 33025"
"March 20, 2026",https://whatnow.com/boston/restaurants/fresh-monkee-to-shake-up-southborough-this-spring/,Fresh Monkee to Shake Up Southborough This Spring,"18 Turnpike Rd, Suite 101, Southborough, MA 01772"
"March 20, 2026",https://whatnow.com/chicago/restaurants/rocky-mountain-chocolate-expanding-with-new-lakeview-shop-planned/,Rocky Mountain Chocolate Expanding with New Lakeview Shop Planned,
"March 20, 2026",https://whatnow.com/austin/restaurants/neighborhood-favorite-in-austin-to-bid-farewell-after-27-years/,Neighborhood Favorite in Austin to Bid Farewell After 27 Years,"2002 Manor Rd, Austin, TX 78722, United States"
"March 20, 2026",https://whatnow.com/seattle/restaurants/brass-steak-seafood-to-anchor-the-yard-at-harvest-woodinville-this-summer/,Brass Steak & Seafood to Anchor The Yard in Woodinville,
"March 20, 2026",https://whatnow.com/denver/restaurants/bagel-chain-call-your-mother-to-open-its-fourth-denver-location-near-union-station/,Bagel Chain Call Your Mother to Open Its Fourth Denver Location Near Union Station,"1607 Wewatta St, Denver, CO 80202"
"March 20, 2026",https://whatnow.com/miami/restaurants/double-knot-opening-at-sundy-village/,Double Knot Opening at Sundy Village,"22 W Atlantic Ave, Delray Beach, FL 33444"
"March 20, 2026",https://whatnow.com/charleston/restaurants/caviar-bananas-to-expand-in-mount-pleasant-with-new-location/,Caviar & Bananas Expands to Mount Pleasant with New Cafe,"1035 Johnnie Dodds Blvd. Mt Pleasant, SC 29464"
"March 20, 2026",https://whatnow.com/orange-county/restaurants/japanese-style-cocktail-bar-and-sushi-theater-to-open-in-costa-mesa/,Japanese-Style Cocktail Bar and Sushi Theater to Open in Costa Mesa,"3033 Bristol St, Costa Mesa, CA 92626"
"March 20, 2026",https://whatnow.com/detroit/restaurants/iron-horse-in-royal-oak-temporarily-closing-new-project-teased/,"Iron Horse in Royal Oak Temporarily Closing, New Project Teased","316 W 4th St, Royal Oak, MI 48067"
"March 20, 2026",https://whatnow.com/sacramento/restaurants/dublin-based-desi-pizza-bites-expanding-to-carmichael/,Dublin-Based Desi Pizza Bites Expanding to Carmichael,"9045 Fair Oaks Blvd, Suite G, Carmichael, CA 95608"
"March 20, 2026",https://whatnow.com/phoenix/restaurants/100-year-old-ice-cream-brand-coming-to-arizona-on-march-30/,100-Year-Old Ice Cream Brand Coming to Arizona on March 30,"13510 N Litchfield Rd, Surprise, AZ 85379, United States"
"March 20, 2026",https://whatnow.com/orlando/restaurants/society-park-will-offer-dining-shopping-and-padel-on-i-drive/,"Society Park Will Offer Dining, Shopping, and Padel on I-Drive","Sand Lake Rd & International Dr, Orlando, FL 32819"
"March 20, 2026",https://whatnow.com/columbus/restaurants/joes-pizza-napoli-of-milford-bringing-wood-fired-pies-to-lebanon/,Joe’s Pizza Napoli of Milford Bringing Wood-Fired Pies to Lebanon,"511 N Broadway St, Lebanon, OH 45036"
"March 20, 2026",https://whatnow.com/los-angeles/restaurants/renowned-cafe-chain-set-to-debut-at-porter-ranchs-the-vineyards/,Renowned Cafe Chain Set to Debut at Porter Ranch’s The Vineyards,"20140 Rinaldi St Suite 130, Porter Ranch, CA 91326, United States"
"March 20, 2026",https://whatnow.com/atlanta/restaurants/molly-tea-expanding-in-duluth-targeting-location-in-buckhead/,"Molly Tea Expanding In Duluth, Targeting Location In Buckhead","3393 Peachtree Rd NE, Atlanta, GA 30326"
"March 20, 2026",https://whatnow.com/austin/restaurants/la-la-land-cafe-plans-location-at-the-domain/,La La Land Cafe Plans Location at The Domain,"11410 Century Oaks Terrace, Suite 108, Austin, TX 78758"
"March 20, 2026",https://whatnow.com/jacksonville/restaurants/aloha-jax-bringing-hawaiian-style-shave-ice-to-north-jacksonville/,Aloha Jax Bringing Hawaiian Style Shave Ice to North Jacksonville,"9429 Heckscher Dr, Jacksonville, FL 32226"
"March 20, 2026",https://whatnow.com/jacksonville/restaurants/whiteys-fish-camp-changes-hands-after-63-years/,Whitey’s Fish Camp Changes Hands After 63 years,"2032 County Rd 220, Fleming Island, FL 32003"
"March 20, 2026",https://whatnow.com/jacksonville/restaurants/soothies-cafe-to-open-at-sawgrass-marriott-golf-resort-spa/,Soothies Cafe to Open at Sawgrass Marriott Golf Resort & Spa,"1000 Tournament Players Club Blvd, Ponte Vedra Beach, FL 32082"
"March 20, 2026",https://whatnow.com/atlanta/restaurants/the-grotto-outdoor-bar-and-lounge-heading-to-atlanta/,The Grotto Outdoor Bar and Lounge Heading To Atlanta | What Now Atlanta,"381 Marietta St NW, Atlanta, GA 30313"
"March 20, 2026",https://whatnow.com/jacksonville/restaurants/rhythm-factory-headed-to-new-location-in-baymeadows/,Rhythm Factory Headed to New Location in Baymeadows,"8206 Philips Hwy, Jacksonville, FL 32256"
"March 20, 2026",https://whatnow.com/austin/restaurants/new-latin-dining-concept-debuts-at-the-domain-this-march/,New Latin Dining Concept Debuts at The Domain This March,"11506 Century Oaks Terrace, Austin, TX 78758, USA"
"March 20, 2026",https://whatnow.com/charlotte/restaurants/simpli-city-cafe-targeting-spring-opening-in-loso/,Simpli City Cafe Targeting Spring Opening In LoSo | What Now Charlotte,"3216 South Blvd, Charlotte, NC 28209"
"March 20, 2026",https://whatnow.com/tampa/restaurants/easy-tiger-bringing-music-and-cocktails-to-st-petes-edge-district/,Easy Tiger Bringing Music and Cocktails to St. Pete’s EDGE District,"915 1st Ave N, St. Petersburg, FL 33705"
"March 20, 2026",https://whatnow.com/tampa/restaurants/hail-mary-social-club-opening-in-tampa-heights/,Hail Mary Social Club Opening in Tampa Heights,"1701 N Franklin St, Tampa, FL 33602"
"March 20, 2026",https://whatnow.com/boston/restaurants/gemma-kitchen-bar-to-bring-elevated-comfort-to-norwoods-historic-firehouse/,Gemma Kitchen & Bar to Bring Elevated Comfort to Norwood's Historic Firehouse,"171 Nahatan St, Norwood, MA 02062"
"March 20, 2026",https://whatnow.com/tampa/restaurants/farmers-milk-opening-in-wesley-chapel/,Farmers Milk Opening in Wesley Chapel,"27049 Halter Lp, Wesley Chapel, FL 33544"
"March 20, 2026",https://whatnow.com/tampa/restaurants/nah-dogs-is-getting-its-first-brick-and-mortar-home/,Nah Dogs Is Getting Its First Brick-and-Mortar Home,"18 22nd St S, St. Petersburg, FL 33712"
"March 20, 2026",https://whatnow.com/orlando/restaurants/checkers-celebrates-20-years-in-apopka-with-bold-restaurant-remodel/,Checkers Celebrates 20 Years in Apopka with Bold Restaurant Remodel | What Now Orlando,"355 E Main St, Apopka, FL 32703"
"March 20, 2026",https://whatnow.com/new-york/restaurants/ghemo-georgian-upper-west-side-opening/,A New Georgian Restaurant and Bakery Ghemo is Opening in the Upper West Side,"201 W 106th St, New York, NY 10025"
"March 19, 2026",https://whatnow.com/las-vegas/restaurants/marker-40-brand-new-concept-to-come-to-the-valley/,"Marker 40, Brand New Concept, To Come to the Valley","14 W Wyoming Ave, Las Vegas, NV 89102"
"March 19, 2026",https://whatnow.com/houston/restaurants/woodys-hideaway-to-open-in-bayview-village-shopping-center/,Woody's Hideaway to Open in Bayview Village Shopping Center,"BayWay Village Shopping Center, 20801 Gulf Fwy, Webster, TX 77598"
"March 19, 2026",https://whatnow.com/denver/restaurants/a-new-vietnamese-restaurant-chao-and-chen-is-opening-in-hampden/,A New Vietnamese Restaurant Chào and Chén is Opening in Hampden,"3333 S Tamarac Dr, Denver, CO 80231"
"March 19, 2026",https://whatnow.com/washington-dc/restaurants/lauded-concept-uchi-nears-dc-debut/,"Lauded Concept, Uchi, Nears DC Debut","1700 M St NW, Washington, DC 20036"
"March 19, 2026",https://whatnow.com/dallas/restaurants/hot-dog-luminary-to-close-out-april-with-new-dfw-location/,Hot Dog Luminary to Close out April with New DFW Location,"FM 423 & Gordon Hts Ln, Frisco, TX 75068"
"March 19, 2026",https://whatnow.com/los-angeles/restaurants/our-spot-coffee-goods-planning-brick-and-mortar-in-long-beach/,Our Spot Coffee & Goods Planning Brick-and-Mortar in Long Beach | What Now Los Angeles,"2221 Palo Verde Ave, Long Beach, CA 90815"
"March 19, 2026",https://whatnow.com/montreal/restaurants/demain-grocery-store-welcomes-new-owner-and-plans-cafe-space/,Demain Grocery Store Welcomes New Owner and Plans Cafe Space,"123 Av. de la Cathédrale, Rimouski, QC G5L 5H8, Canada"
"March 19, 2026",https://whatnow.com/toronto/restaurants/playa-bowls-expanding-to-toronto-and-etobicoke/,Playa Bowls Expanding to Toronto and Etobicoke,
"March 19, 2026",https://whatnow.com/montreal/restaurants/new-gourmet-restaurant-coming-to-theatre-du-nouveau-monde/,New Gourmet Restaurant Coming to Théâtre du Nouveau Monde,"84 Rue Sainte-Catherine O, Montréal, QC H2X 1Z6, Canada"
"March 19, 2026",https://whatnow.com/charlotte/restaurants/trattoria-on-main-planning-opening-in-downtown-monroe/,Trattoria on Main Planning Opening In Downtown Monroe | What Now Charlotte,"109 S Main St #5542, Monroe, NC 28112"
"March 19, 2026",https://whatnow.com/miami/restaurants/wingstop-opening-in-miamis-new-river-neighborhood/,Wingstop Opening in Miami's New River Neighborhood,"1643 NW 20th St, Miami, FL 33142"
"March 19, 2026",https://whatnow.com/denver/restaurants/mobile-coffee-shop-landmarks-coffee-lands-permanent-location-in-colorado-springs/,Mobile Coffee Shop Landmarks Coffee Lands Permanent Location in Colorado Springs,"655 S Sierra Madre St, Colorado Springs, CO 80903"
"March 19, 2026",https://whatnow.com/toronto/restaurants/splitsville-adding-two-new-ontario-locations/,Splitsville Adding Two New Ontario Locations,
"March 19, 2026",https://whatnow.com/atlanta/restaurants/crave-social-eatery-to-join-altitude-trampoline-park-in-peachtree-city/,Crave Social Eatery To Join Altitude Trampoline Park In Peachtree City | What Now Atlanta,"400 Crosstown Drive, Peachtree City, GA 30269"
"March 19, 2026",https://whatnow.com/sacramento/restaurants/vitality-bowls-bringing-fresh-acai-and-healthy-eats-to-woodland/,Vitality Bowls Bringing Fresh Açai and Healthy Eats to Woodland,"2061 Bronze Star Dr, Unit 200, Woodland, CA 95776"
"March 19, 2026",https://whatnow.com/atlanta/restaurants/nadc-burger-appears-to-be-heading-to-atlanta/,NADC Burger Appears To Be Heading To Atlanta | What Now Atlanta,"77 Georgia Ave SE, Atlanta, GA 30312"
"March 19, 2026",https://whatnow.com/philadelphia/restaurants/root-sprig-to-bring-healthy-eats-to-the-university-of-pennsylvania-this-spring/,Root & Sprig to Bring Healthy Eats to UPenn This Spring,"421 Curie Blvd., Philadelphia, PA 19104"
"March 19, 2026",https://whatnow.com/orange-county/restaurants/osen-urban-table-coming-to-the-canopy-at-great-park/,Osen Urban Table Coming to the Canopy at Great Park,
"March 19, 2026",https://whatnow.com/chicago/restaurants/new-bar-and-speakeasy-to-accompany-crying-tiger-in-river-north/,New Bar and Speakeasy to Accompany Crying Tiger in River North,"51 W Hubbard St #200, Chicago, IL 60654"
"March 19, 2026",https://whatnow.com/los-angeles/restaurants/san-diego-sports-bar-dirty-birds-inks-deal-for-long-beach/,San Diego Sports Bar Dirty Birds Inks Deal For Long Beach | What Now Los Angeles,"200 Pine Ave, Long Beach, CA 90802"
"March 19, 2026",https://whatnow.com/philadelphia/restaurants/stephen-starr-unveils-the-pelican-club-a-greek-inspired-spot-coming-to-rittenhouse-square/,Starr Announces The Pelican Club in Rittenhouse Square,"225 S 18th St. Philadelphia, PA 19103"
"March 19, 2026",https://whatnow.com/denver/restaurants/please-and-thank-you-cookies-opening-in-cherry-creek/,Please and Thank You Cookies Opening in Cherry Creek,"2908 E 6th Ave, Denver, CO 80206"
"March 19, 2026",https://whatnow.com/phoenix/restaurants/copper-club-to-open-in-gaslight-square/,Copper Club to Open in Gaslight Square,"3603 E Indian School Rd, Phoenix, AZ 85018"
"March 19, 2026",https://whatnow.com/boston/restaurants/julieannes-bakery-cafe-bringing-scratch-made-sweets-to-burlington/,JulieAnne’s Bakery & Cafe Bringing Scratch-Made Sweets to Burlington,"154 Cambridge St, Unit 3A, Burlington, MA 01803"
"March 19, 2026",https://whatnow.com/chicago/restaurants/el-che-hospitality-to-debut-unnamed-project-at-proxi-space-in-west-loop/,Hey Che Hospitality to Debut Unnamed Project at Proxi Space in West Loop,"565 W Randolph St, Chicago, IL 60661"
"March 19, 2026",https://whatnow.com/phoenix/restaurants/legendary-palm-springs-barracks-bar-is-moving-to-phoenix/,Legendary Palm Springs Barracks Bar is Moving to Phoenix,"4601 N 7th Ave, Phoenix, AZ 85013"
"March 19, 2026",https://whatnow.com/montreal/restaurants/junior-the-kid-wood-fire-barbecue-opening-new-ottawa-site/,Junior & The Kid Wood Fire Barbecue Opening New Ottawa Site,"300 Coventry Rd, Ottawa, ON K1K 4P5, Canada"
"March 19, 2026",https://whatnow.com/boston/restaurants/honeygrow-heading-to-hanover-with-custom-stir-fries-and-sweet-honeybars/,Honeygrow Heading to Hanover with Custom Stir-Fries and Sweet Honeybars,"1775 Washington St, Hanover, MA 02339"
"March 19, 2026",https://whatnow.com/montreal/restaurants/craigs-cookies-joining-ottawa-titans-concessions/,Craig’s Cookies Joining Ottawa Titans Concessions,"300 Coventry Rd, Ottawa, ON K1K 4P5, Canada"
"March 19, 2026",https://whatnow.com/houston/restaurants/leemoo-health-bar-to-open-a-location-in-the-swift-building/,Leemoo Health Bar to Open a Shop in the Swift Building,"621 Waverly St #108, Houston, TX 77007"
"March 19, 2026",https://whatnow.com/philadelphia/restaurants/capriottis-sandwich-shop-to-open-second-lehigh-valley-location/,Capriotti’s Sandwich Shop to Open New Lehigh Valley Location,"2221 MacArthur Rd. Whitehall Township, PA 18052"
"March 19, 2026",https://whatnow.com/las-vegas/restaurants/al-chile-fire-mobile-food-trailer-coming-to-las-vegas/,AL Chile Fire Mobile Food Trailer Coming to Las Vegas,"732 S 6th St, Las Vegas, NV 89101"
"March 19, 2026",https://whatnow.com/columbus/restaurants/mikeys-late-night-slice-to-replace-homefield-sports-bar-this-summer/,Mikey’s Late Night Slice Coming Back to Grandview This Summer,"1312 Grandview Ave, Columbus, OH 43212"
"March 19, 2026",https://whatnow.com/charleston/restaurants/the-cooper-luxury-hotel-in-charleston-to-open-this-spring-with-waterfront-dining-spots/,The Cooper Luxury Hotel in Charleston to Open This Spring,"176 Concord St. Charleston, SC 29401"
"March 19, 2026",https://whatnow.com/orlando/restaurants/mediterranean-fast-casual-chain-is-coming-to-vineland-pointe-shopping-center/,Mediterranean Fast-Casual Chain is Coming to Vineland Pointe Shopping Center,"11519 Regency Village Dr, Orlando, FL 32821"
"March 19, 2026",https://whatnow.com/detroit/restaurants/owners-of-kickstand-brewing-moving-into-former-draught-horse-brewery-space/,Owners of Kickstand Brewing Moving into Former Draught Horse Brewery Space,"57721 Grand River Ave, New Hudson, MI 48165"
"March 19, 2026",https://whatnow.com/philadelphia/restaurants/boutique-grill-concept-with-steakhouse-soul-planned-for-wayne/,Wayne Boutique Grill Concept to Bring Wood-Fired Dining,"166 E Lancaster Ave. Wayne, PA 19087"
"March 18, 2026",https://whatnow.com/nashville/restaurants/edleys-tacos-taking-over-at-pancho-and-leftys-locations/,Edley’s Tacos Taking Over At Pancho and Lefty’s Locations | What Now Nashville,"2600 8th Ave S #109, Nashville, TN 37204"
"March 18, 2026",https://whatnow.com/dallas/restaurants/more-daves-hot-chicken-clucking-into-the-dallas/,More Dave’s Hot Chicken Clucking into the Dallas,"905 N Hwy 67, Cedar Hill, TX 75104"
"March 18, 2026",https://whatnow.com/orlando/restaurants/pop-up-bagels-is-coming-to-the-crossings-at-viera/,Pop Up Bagels is Coming to The Crossings at Viera,"2105 Viera Blvd, Rockledge, FL 32955"
"March 18, 2026",https://whatnow.com/orlando/restaurants/cfs-coffee-is-headed-for-mount-dora/,CFS Coffee is Headed for Mount Dora,"Mount Dora, FL"
"March 18, 2026",https://whatnow.com/nashville/restaurants/boka-restaurant-group-announces-new-concept-for-wedgewood-village/,Boka Restaurant Group Announces New Concept For Wedgewood Village | What Now Nashville,"515 Houston St, Nashville, TN 37203"
"March 18, 2026",https://whatnow.com/portland/restaurants/hawaiian-restaurant-808-grinds-to-open-new-location-in-cedar-mill/,Hawaiian Restaurant 808 Grinds to Open New Location in Cedar Mill,"10970 SW Barnes Rd, Portland, OR 97225"
