state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,zip,lwib_area
Vermont,J. C. Penney,,"Jan 07, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Plasan North America, Inc.",,"May 04, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,JC Penney,,"Jan 07, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Fairpoint Communications,,"May 27, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Keurig Green Mountain,,"Aug 06, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Vermont Castings Group,,"Aug 25, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Gildan Garments,Northfield,"Aug 26, 2015",,,WARN,,05663,00 - Vermont Workforce Investment Area
Vermont,G. Housen and Company Inc.,,"Sep 14, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Gap Inc.,,"Dec 08, 2015",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Morrison Management Specialists,,"Jan 22, 2016",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Keurig Green Mountain,,"Jun 07, 2016",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,VSAC,,"Jun 15, 2016",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Dowlings, Inc",,"Aug 01, 2016",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Merchants Bank,,"Mar 10, 2017",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Dollar Express,,"Mar 30, 2017",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Country Home Products,Winooski,"Jun 06, 2017",,,WARN,,05404,00 - Vermont Workforce Investment Area
Vermont,Brookside Nursing & Rehabilitation Center LLC,,"Nov 08, 2017",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Kmart Corporation,,"Jan 04, 2018",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Entergy and Securitas,,"Mar 20, 2018",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Scenic View Community Care Home,,"May 15, 2018",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,GlobalFoundries US INc.,,"Jun 20, 2018",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Keurig Dr Pepper,Waterbury,"Oct 25, 2018",,,WARN,,05676,00 - Vermont Workforce Investment Area
Vermont,"Lepage Bakeries Brattleboro, LLC",,"Nov 06, 2018",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Neenah Paper,,"Oct 25, 2018",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Sunny Sky Products, LLC",,"Jan 17, 2019",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Bertek Systems Inc.,,"Feb 25, 2019",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Oryza group,,"Mar 26, 2019",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Southern Vermont College,,"Mar 29, 2019",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Spire Hospitality/Top Notch Resort,,"Mar 20, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Equinox Golf Resort and Spa,,"Mar 27, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Hilton Lake Champlain,,"Mar 23, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Meridian Behaviorial Health,,"Feb 19, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Gannett Publishing Services,,"Feb 27, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Prime Motor Group/White River Subaru,,"Apr 03, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Marlboro College,,"May 14, 2020",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Global Foundries,Essex Junction,"Dec 16, 2022",,,WARN,,05452,00 - Vermont Workforce Investment Area
Vermont,Marvell,,"Nov 05, 2019",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Energizer Brands, LLC",Bennington,"Nov 04, 2020",,,WARN,,05201,00 - Vermont Workforce Investment Area
Vermont,Brattleboro Retreat Mental Health and Addiction,Brattleboro,"Oct 22, 2020",,,WARN,,05302,00 - Vermont Workforce Investment Area
Vermont,FedEx Freight,Bellows Falls,"Oct 09, 2020",,,WARN,,05101,00 - Vermont Workforce Investment Area
Vermont,Koffee Kup Bakery- Brattleboro,Brattleboro,"Apr 26, 2021",,,WARN,,05301,00 - Vermont Workforce Investment Area
Vermont,Koffee Kup Bakery-Burlington,Burlington,"Apr 26, 2021",,,WARN,,05401,00 - Vermont Workforce Investment Area
Vermont,Keurig Dr. Pepper,Essex Junction,"Mar 05, 2021",,,WARN,,05452,00 - Vermont Workforce Investment Area
Vermont,People's United Bank,Montpelier,"Jul 22, 2021",,,WARN,,05601,00 - Vermont Workforce Investment Area
Vermont,Jeld-Wen Windows & Doors,North Springfield,"Jun 20, 2022",,,WARN,,05150,00 - Vermont Workforce Investment Area
Vermont,"Soundview Vermont Holdings, LLC",Putney,"Jan 15, 2024",,,WARN,,05346,00 - Vermont Workforce Investment Area
Vermont,The Orvis Company,Sunderland,"Oct 04, 2024",,,WARN,,05250,00 - Vermont Workforce Investment Area
Vermont,Big Lots,Westerville,"Jul 30, 2024",,,WARN,,43082,00 - Vermont Workforce Investment Area
Vermont,ITC Federal,Essex Junction,"Dec 03, 2024",,,WARN,,05453,00 - Vermont Workforce Investment Area
Vermont,The Orvis Company,Arlington,"Jun 18, 2025",,,WARN,,05250,00 - Vermont Workforce Investment Area
Vermont,Fed Ex Corporation,Williston,"Apr 30, 2025",,,WARN,,05495,00 - Vermont Workforce Investment Area
Vermont,"America's Gardening Resouces inc, dba Gardeners supply",Burlington,"Jul 24, 2025",,,WARN,,05401,00 - Vermont Workforce Investment Area
Vermont,University of Vermont Health Network,Burlington,"Jul 29, 2025",,,WARN,,05401,00 - Vermont Workforce Investment Area
Vermont,ITC Federal,Essex Junction,"Sep 30, 2025",,,WARN,,05452,00 - Vermont Workforce Investment Area
Vermont,HP Hood,Barre,"Sep 24, 2025",,,WARN,,05641,00 - Vermont Workforce Investment Area
Vermont,Calmont Beverage,Barre,"Jan 22, 2026",,,WARN,,05641,00 - Vermont Workforce Investment Area
Vermont,Maple Ridge Memory Care and Lodge,Essex Junction,"Jan 30, 2026",,,WARN,,05452,00 - Vermont Workforce Investment Area
