state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date,COUNTY_NAME,WDA_NAME,WFDD_RECEIVED_DATE,zip,lwib_area,address,contact_person,collective_bargaining_unit,type_detail
DC,"Freedom House, Inc.",,"March 28, 2025","May 27, 2025",30,1,,,,,,,,,,,,,,
DC,American Federation of Government Employees (AFGE),,"March 31, 2025","May 30, 2025",206,1,,,,,,,,,,,,,,
DC,International Republican Institute,,"April 7, 2025","June 6, 2025",246,1,,,,,,,,,,,,,,
DC,Family Health International d/b/a FHI360,,"April 9, 2025","May 2, 2025 through May 16, 2026",260,1,,,,,,,,,,,,,,
DC,US Conference of Catholic Bishops,,"April 14, 2025","May 30, 2025",39,1,,,,,,,,,,,,,,
DC,Institue of International Education,,"April 14, 2025","Various Dates through June 29, 2025",45 (amended),1,,,,,,,,,,,,,,
DC,Children's School Services,,"April 25, 2025","June 28, 2025",226,1,,,,,,,,,,,,,,
DC,Institue of International Education,,"April 25, 2025","Various Dates through June 29, 2025",63 (amended),1,,,,,,,,,,,,,,
DC,Radio Free Asia,,"May 2, 2025","May 9 through September 30, 2025",285,1,,,,,,,,,,,,,,
DC,Pact,,"May 13, 2025","June 24,2025",72,1,,,,,,,,,,,,,,
DC,"Sodexo Services East, LLC",,"May 15, 2025","August 8, 2025",228,1,,,,,,,,,,,,,,
DC,ACDI/VOCA,,"June 4, 2025","August 4, 2025",19,1,,,,,,,,,,,,,,
DC,Institue of International Education,,"June 4, 2025","Various Dates through September 28, 2025",54 (amended),1,,,,,,,,,,,,,,
DC,"Sodexo, Inc.",,"June 6, 2025","July 31 through August 28, 2025",308,1,,,,,,,,,,,,,,
DC,Institue of International Education,,"July 1, 2025","Various Dates through November2, 2025",54 (amended),1,,,,,,,,,,,,,,
DC,ACDI VOGA,,"July 2, 2025","September 2, 2025",4,1,,,,,,,,,,,,,,
DC,National Association of County and City Health Officials,,"July 30, 2025","September 30, 2025",43,1,,,,,,,,,,,,,,
DC,ACDI VOCA,,"July 30, 2025","October 1, 2025",4,1,,,,,,,,,,,,,,
DC,Corporation for Public Broadcasting,,"August 1, 2025","September 30, 2025",94,1,,,,,,,,,,,,,,
DC,Institue of International Education,,"August 11, 2025","Various Dates through November 2, 2025",46 (amended),1,,,,,,,,,,,,,,
DC,Chemonics,,"August 25, 2025","September 30 through September 28, 2025",59,1,,,,,,,,,,,,,,
DC,Target,,"August 27, 2025","November 1, 2025",44,2,,,,,,,,,,,,,,
DC,ACDI VOCA,,"August 28, 2025","November 3, 2025",5,1,,,,,,,,,,,,,,
DC,Institue of International Education,,"September 10, 2025","Various Dates through September 28, 2025",46 (amended),1,,,,,,,,,,,,,,
DC,Institue of International Education,,"October 20, 2025","January 4, 2026",24,1,,,,,,,,,,,,,,
DC,RATP DEV and Midtown Group,,"October 29, 2025","January 3, 2026",52,2,,,,,,,,,,,,,,
Maryland,Hendall Inc.,"1803 Research Blvd, Suite 300 Rockville, MD 20850",04/14/2026,,,"Mass Layoff - No RecallNote: Temporary, may become permanent",,541512.0,Montgomery County,50,06/10/2026,,,,,,,,,
Maryland,Leidos,"3300 Lord Baltimore Drive Windsor Mill, MD 21244",04/06/2026,,,Mass Layoff - No Recall,,334413.0,Baltimore County,156,06/05/2026,,,,,,,,,
Maryland,"Cox Automotive Corp Svc., LLC","4805 Philadelphia Road Belcamp, MD 21014",04/03/2026,,,Mass Layoff - No Recall,,423110.0,Susquehanna,70,06/05/2026,,,,,,,,,
Maryland,Leidos,"6910 Cooper Ave Fort Meade, MD 20755",04/02/2026,,,Mass Layoff - No Recall,,541519.0,Anne Arundel,71,05/31/2026,,,,,,,,,
Maryland,"Tyto Athene, LLC","6910 Cooper Ave Fort Meade, MD 20755",04/02/2026,,,Mass Layoff - No Recall,,541519.0,Anne Arundel,39,05/31/2026,,,,,,,,,
Maryland,Legacy Supply Chain,"238 Belvidere Road Perryville, MD 21903",04/01/2026,,,Mass Layoff - No Recall,,493110.0,Susquehanna,21,06/06/2026,,,,,,,,,
Maryland,General Dynamics Information Technology,"5601 Fishers Lane Rockville, MD 20852",04/01/2026,,,Mass Layoff - No Recall,,541330.0,Montgomery County,74,06/01/2026,,,,,,,,,
Maryland,"*RESCINDED* Advanced Packaging, Inc.","4818 Seton Drive Baltimore, MD 21215",03/31/2026,,,Plant Closure,,326199.0,Baltimore City,18,06/01/2026,,,,,,,,,
Maryland,Carnegie Institution for Science,"3520 San Martin Drive Baltimore, MD 21218",03/30/2026,,,Mass Layoff - No Recall,,541715.0,Baltimore City,15,06/30/2026,,,,,,,,,
Maryland,General Dynamics Information Technology,"4600 Sangamore Road Bethesda, MD 20816",03/27/2026,,,Mass Layoff - No Recall,,541330.0,Montgomery County,21,05/29/2026,,,,,,,,,
Maryland,"Maryland and Virginia Milk Producers Cooperative Association, Inc. d/b/a Maola","8321 Leishear Road Laurel, Maryland 20723",03/26/2026,,,Plant Closure,,311511.0,Howard County,72,06/01/2026 - 12/31/2026,,,,,,,,,
Maryland,Evonik Corporation,"701 Fountain Street Havre De Grace, MD 21078",03/25/2026,,,Plant Closure,,325180.0,Susquehanna,34,06/30/2026 - 12/31/2026,,,,,,,,,
Maryland,"PedalPoint EvTerra Recycling, LLC","7118 Geoffrey Way, Unit E Frederick, MD 21704",03/19/2026,,,Plant Closure,,562920.0,Frederick,17,05/19/2026,,,,,,,,,
Maryland,"Panera, LLC","7801 Dorsey Run Jessup, MD 20794",03/17/2026,,,Plant Closure,,311812.0,Howard County,118,05/20/2026 - 05/22/2026,,,,,,,,,
Maryland,"Bering Global Solutions, LLC (BGS) - CBD","5813 Bayside Rd Chesapeake Beach, MD 20732",03/13/2026,,,Mass Layoff - No Recall,,561210.0,Southern Maryland,21,03/31/2026,,,,,,,,,
Maryland,"Bering Global Solutions, LLC (BGS) - Carderock","9500 Macarthur Blvd. Bethesda, MD 20817",03/13/2026,,,Mass Layoff - No Recall,,561210.0,Montgomery County,6,03/31/2026,,,,,,,,,
Maryland,"Bering Global Solutions, LLC (BGS) - Bethesda","8901 Rockville Pike Bethesda, MD 20889",03/13/2026,,,Mass Layoff - No Recall,,561210.0,Montgomery County,5,03/31/2026,,,,,,,,,
Maryland,United Source One,"4610 Mercedes Drive, Suite 110  Belcamp, MD 21017",03/11/2026,,,Mass Layoff - No Recall,,424470.0,Susquehanna,8,03/04/2026,,,,,,,,,
Maryland,Amentum,"10530 Riverview Road  Fort Washington, MD 20744",03/09/2026,,,Mass Layoff - No Recall,,541330.0,Prince Georgeâs,9,05/03/2026,,,,,,,,,
Maryland,Amentum,"4251 Suitland Road  Suitland, MD 20746",03/09/2026,,,Mass Layoff - No Recall,,541330.0,Prince Georgeâs,27,05/03/2026,,,,,,,,,
Maryland,"Horizon Therapeutics USA, Inc.","9605 Medical Center Drive, Suite 325  Rockville, MD 20850",03/09/2026,,,Mass Layoff - No Recall,,325412.0,Montgomery County,22,05/08/2026,,,,,,,,,
Maryland,Saks & Company LLC,"5555 Wisconsin Avenue  Chevy Chase, MD 20815",03/06/2026,,,Plant Closure,,458110.0,Montgomery County,75,05/06/2026 - 05/31/2026,,,,,,,,,
Maryland,C2 Technologies,"7601 Lewinsville Road, Suite 200  McLean, Virginia 22102",03/06/2026,,,Mass Layoff - No Recall,,611430.0,Statewide,1,03/06/2026,,,,,,,,,
Maryland,Excelitas,"910 Clopper Road  Gaithersburg, MD 20878",03/03/2026,,,Mass Layoff - No Recall,,335129.0,Montgomery County,30,05/15/2026 - 10/31/2026,,,,,,,,,
Maryland,"IPIC Theaters, LLC","11830 Grand Park Avenue  North Bethesda, MD 20852",03/02/2026,,,Plant Closure,,711110.0,Montgomery County,116,04/28/2026,,,,,,,,,
Maryland,Viskon-Aire Corporation,"410 Winfield Avenue  Salisbury, MD 21801",2/24/2026,,,Plant Closure,,333413.0,Lower Shore,51,04/13/2026- 09/30/2026,,,,,,,,,
Maryland,Duality Ventures LLC,"16604 Industrial Lane  Williamsport, MD 21795",2/23/2026,,,Plant Closure,,492210.0,Western Maryland,98,03/21/2026,,,,,,,,,
Maryland,"Hornblower Cruises and Events, LLC","575 S. Charles Street, Suite 506, Baltimore, MD 21201",02/19/2026,,,Mass Layoff - No Recall,,487210.0,Baltimore City,51,04/25/2026,,,,,,,,,
Maryland,"Catalent  Maryland, Inc.","7555 Harmans  Road  Harmans, MD  21077",02/19/2026,,,Mass Layoff - No Recall,,325412.0,Anne Arundel County,93,04/19/2026,,,,,,,,,
Maryland,"Catalent  Maryland, Inc.","801 West  Baltimore Street  Suite 302  Baltimore, MD  21201",02/19/2026,,,Mass Layoff - No Recall,,325412.0,Baltimore City,3,04/19/2026,,,,,,,,,
Maryland,Breakthru Beverage Group,"525 Progress Drive, Suite K, Linthicum Heights, MD 21090",02/17/2026,,,Mass Layoff - No Recall,,424820.0,Anne Arundel County,35,04/18/2026,,,,,,,,,
Maryland,"Loweâs Companies, Inc.","1000 Loweâs Blvd.  Mooresville, NC  28117",02/17/2026,,,Mass Layoff - No Recall,,444110.0,Statewide,5 (Remote workers in MD),04/19/2026 - 05/01/2026,,,,,,,,,
Maryland,T. Rowe Price,"1307 Point Street  Baltimore, MD 21231",02/12/2026,,,Mass Layoff - No Recall,,523940.0,Baltimore City,54,02/06/2026,,,,,,,,,
Maryland,Savage  Infrastructure  LLC,"354 Table Rock  Road  Oakland, MD  21550",02/09/2026,,,Plant Closure,,484110.0,Western Maryland,72,04/07/2026 - 04/21/2026,,,,,,,,,
Maryland,"LifeBridge Suburban Staffing, LLC","2850 N. Ridge Road  Ellicott City, MD",02/06/2026,,,"Plant Closure  Note: Work performed at Ellicott City Ambulatory Surgery Center, L.L.L.P)",,561311.0,Howard County,23,03/07/2026- 04/06/2026,,,,,,,,,
Maryland,"NFI Interactive Technologies, LLC (NFI)","81 Belvedere Road Perryville, MD 21903",02/04/2026,,,Plant Closure,,484121.0,Susquehanna,40,03/30/2026,,,,,,,,,
Maryland,"HGS CX Technologies, Inc. f/k/a HGS USA","12120 Rojas Drive El Paso, Texas",02/04/2026,,,Mass Layoff - No Recall,,561499.0,Statewide,92,03/31/2026 -04/14/2026,,,,,,,,,
Maryland,"Charles River  Laboratories,  Inc.",3600 Cabover  Drive  Hanover MD  21076,02/02/2026,,,Plant Closure,,541715.0,Anne Arundel County,20,03/23/2026,,,,,,,,,
Maryland,"MUFG Investor  Services (US),  LLC (MUIS)","805 King Farm  Boulevard, Suite  600  Rockville,MD  20850",01/30/2026,,,Mass Layoff - No  Recall,,523920.0,Montgomery County,86,03/31/2026 -  06/30/2025,,,,,,,,,
Maryland,Saks & Company LLC,"22705 Clarksburg Road  Clarksburg, MD 20871",01/29/2026,,,Plant Closure,,458110.0,Montgomery County,15,04/30/2026,,,,,,,,,
Maryland,Saks & Company LLC,"7000 Arundel Mills Circle  Hanover, MD 21076",01/29/2026,,,Plant Closure,,458110.0,Anne Arundel County,16,04/30/2026,,,,,,,,,
Maryland,Amazon - MAF1 facility,"5463 Wisconsin Ave.  Chevy Chase, MD 20815",01/28/2026,,,Plant Closure,,454110.0,Montgomery County,129,04/28/2026,,,,,,,,,
Maryland,Amazon - MAG5 facility,"8525 Chevy Chase Lake Terrace  Chevy Chase, MD 20815",01/28/2026,,,Plant Closure,,454110.0,Montgomery County,118,04/28/2026,,,,,,,,,
Maryland,Amazon - MAH5 facility,"15790 Shady Grove Road  Gaithersburg, MD  20877",01/28/2026,,,Plant Closure,,454110.0,Montgomery County,155,04/28/2026,,,,,,,,,
Maryland,Amazon - MAT8 facility,"6711 Ritchie Highway  Glen Burnie, MD  21061",01/28/2026,,,Plant Closure,,454110.0,Anne Arundel County,156,04/28/2026,,,,,,,,,
Maryland,Amazon - MAV2 facility,"12263 Prosperity Drive  Silver Spring, MD 20904",01/28/2026,,,Plant Closure,,454110.0,Montgomery County,184,04/28/2026,,,,,,,,,
Maryland,Weis Store #291,"15300 McMullen  Highway  Cumberland, MD  21502",01/15/2026,,,Plant Closure,,445110.0,Western Maryland,52,03/16/2026,,,,,,,,,
Maryland,Home Depot  Design Center,"12087 Rockville  Pike  Rockville, MD  20852",01/14/2026,,,Plant Closure,,444110.0,Montgomery  County,85,03/14/2026,,,,,,,,,
Maryland,Peraton,"6201 Security  Blvd  Woodlawn, MD  21207",01/14/2026,,,Mass Layoff - No Recall,,518210.0,Baltimore  County,35,02/28/2026,,,,,,,,,
Maryland,"BAE Systems,  Inc.","306 Sentinel  Drive, Suite 500,  Annapolis  Junction, MD  20701",1/2/2026,,,Mass Layoff - No Recall,,541512.0,Anne Arundel  County,55,03/02/2026 -  04/02/2026,,,,,,,,,
Texas,Macy's - Houston (Almeda),Houston,01/15/2025,03/18/2025,72.0,,,,,,,Harris,Gulf Coast WDA,01/15/2025,,,,,,
Texas,RR Donnelley,Nacogdoches,01/14/2025,03/15/2025,88.0,,,,,,,Nacogdoches,Deep East Texas WDA,01/14/2025,,,,,,
Texas,"COSMAX NBT USA, INC #1",Garland,01/14/2025,02/28/2025,80.0,,,,,,,Dallas,Dallas County WDA,01/14/2025,,,,,,
Texas,"Scentsy, Inc.",Coppell,01/09/2025,03/01/2025,94.0,,,,,,,Dallas,Dallas County WDA,01/09/2025,,,,,,
Texas,Commanche Peak Nuclear Power Plant,Glen Rose,01/08/2025,01/31/2025,86.0,,,,,,,Somervell,North Central Texas WDA,01/08/2025,,,,,,
Texas,Crothall Healthcare-Houston,Houston,01/08/2025,12/15/2024,69.0,,,,,,,Harris,Gulf Coast WDA,01/08/2025,,,,,,
Texas,"ICON Technology, Inc.",Austin,01/07/2025,03/08/2025,114.0,,,,,,,Travis,Capital Area WDA,01/07/2025,,,,,,
Texas,Animal Supply Co. LLC,Grand Prairie,02/11/2025,02/21/2025,145.0,,,,,,,Tarrant,Tarrant County WDA,02/11/2025,,,,,,
Texas,Catholic Charities of Dallas (Refuge Resettlement Program),Dallas,02/11/2025,02/11/2025,63.0,,,,,,,Dallas,Dallas County WDA,02/11/2025,,,,,,
Texas,Propio Language Services,San Antonio,02/11/2025,02/11/2025,40.0,,,,,,,Bexar,Alamo WDA,02/11/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Louisiana Street),Houston,02/10/2025,02/07/2025,11.0,,,,,,,Harris,Gulf Coast WDA,02/10/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Smith Street),Houston,02/10/2025,02/07/2025,43.0,,,,,,,Harris,Gulf Coast WDA,02/10/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Bering Drive),Houston,02/10/2025,02/07/2025,58.0,,,,,,,Harris,Gulf Coast WDA,02/10/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (San Felipe),Houston,02/10/2025,02/07/2025,8.0,,,,,,,Harris,Gulf Coast WDA,02/10/2025,,,,,,
Texas,Syzygy Plasmonics,Houston,02/05/2025,03/31/2025,58.0,,,,,,,Harris,Gulf Coast WDA,02/05/2025,,,,,,
Texas,Syzygy Plasmonics (Kirby),Houston,02/05/2025,03/31/2025,10.0,,,,,,,Harris,Gulf Coast WDA,02/05/2025,,,,,,
Texas,"LX Pantos America, Inc.",Fort Worth,02/05/2025,04/04/2025,131.0,,,,,,,Tarrant,Tarrant County WDA,02/05/2025,,,,,,
Texas,Pathlight Property Management (OPVHHJV LLC),Plano,02/05/2025,03/31/2025,192.0,,,,,,,Collin,North Central Texas WDA,02/05/2025,,,,,,
Texas,Hll Mission Technologies(Administrative Office of the US Courts (AOUSC),San Antonio,02/05/2025,03/31/2025,56.0,,,,,,,Bexar,Alamo WDA,02/05/2025,,,,,,
Texas,One TouchPoint,Austin,01/30/2025,01/31/2025,43.0,,,,,,,Travis,Capital Area WDA,01/30/2025,,,,,,
Texas,S & B Engineers and Constructors (Eastman),Longview,01/29/2025,03/28/2025,43.0,,,,,,,Gregg,East Texas WDA,01/29/2025,,,,,,
Texas,Allied Aviation-Southlake,Southlake,01/29/2025,03/31/2025,362.0,,,,,,,Tarrant,Tarrant County WDA,01/29/2025,,,,,,
Texas,Manpower Group (Irving),Irving,01/29/2025,03/28/2025,173.0,,,,,,,Dallas,Dallas County WDA,01/29/2025,,,,,,
Texas,"Construction Specialties Platforn Holdings, LLC",Denton,01/27/2025,03/31/2025,89.0,,,,,,,Denton,North Central Texas WDA,01/27/2025,,,,,,
Texas,"Chalk Mountain Services of Texas of Texas, LLC (Pleasanton)",Pleasanton,01/21/2025,02/02/2025,1.0,,,,,,,Atascosa,Alamo WDA,01/21/2025,,,,,,
Texas,Grocery Delivery E Services USA DBA Hello Fresh (Tarrant),Grand Prairie,03/12/2025,05/13/2025,273.0,,,,,,,Tarrant,Tarrant County WDA,03/12/2025,,,,,,
Texas,Constellis LLC (Laredo Border Station),Laredo,03/12/2025,03/07/2025,121.0,,,,,,,Webb,South Texas WDA,03/12/2025,,,,,,
Texas,Constellis LLC (Laredo #2),Laredo,03/12/2025,03/07/2025,30.0,,,,,,,Webb,South Texas WDA,03/12/2025,,,,,,
Texas,Chewy Inc. Fullfillment Center,Dallas,03/12/2025,05/10/2025,674.0,,,,,,,Dallas,Dallas County WDA,03/12/2025,,,,,,
Texas,"De La Paz Cleaning and Rental Services, LLC (Laredo)",Laredo,03/12/2025,03/07/2025,142.0,,,,,,,Webb,South Texas WDA,03/12/2025,,,,,,
Texas,Country Pure Foods,Houston,03/12/2025,05/09/2025,60.0,,,,,,,Harris,Gulf Coast WDA,03/12/2025,,,,,,
Texas,Interfaith Ministries Of Greater Houston (Refugee Services Program),Houston,03/11/2025,03/14/2025,101.0,,,,,,,Harris,Gulf Coast WDA,03/11/2025,,,,,,
Texas,"De La Paz Cleaning and Rental Services, LLC (North Eagle Pass)",Eagle Pass,03/11/2025,03/03/2025,60.0,,,,,,,Maverick,Middle Rio Grande WDA,03/11/2025,,,,,,
Texas,"De La Paz Cleaning and Rental Services, LLC (Donna)",Donna,03/11/2025,03/07/2025,125.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,03/11/2025,,,,,,
Texas,"Centerra (Constellis, LLC)",McAllen,03/11/2025,03/07/2025,23.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,03/11/2025,,,,,,
Texas,"Catholic Charities, Diocese of Fort Worth, INC",Fort Worth,03/10/2025,03/14/2025,169.0,,,,,,,Tarrant,Tarrant County WDA,03/10/2025,,,,,,
Texas,Ryder -Hutchins,Hutchins,03/06/2025,05/10/2025,110.0,,,,,,,Dallas,Dallas County WDA,03/06/2025,,,,,,
Texas,"Hatco, Inc",Longview,03/06/2025,02/27/2025,68.0,,,,,,,Gregg,East Texas WDA,03/06/2025,,,,,,
Texas,Pure Safety Group Inc. DBA Guardian Fall,Houston,03/05/2025,03/20/2025,59.0,,,,,,,Harris,Gulf Coast WDA,03/05/2025,,,,,,
Texas,"LUKE Holdings, Inc. (Del Rio)",Del Rio,03/05/2025,02/28/2025,36.0,,,,,,,Val Verde,Middle Rio Grande WDA,03/05/2025,,,,,,
Texas,"LUKE Holdings, Inc. (Donna)",Donna,03/05/2025,02/28/2025,201.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,03/05/2025,,,,,,
Texas,"LUKE Holdings, Inc (Eagle Pass)",Eagle Pass,03/05/2025,02/28/2025,129.0,,,,,,,Maverick,Middle Rio Grande WDA,03/05/2025,,,,,,
Texas,JELD -WEN -Coppell,Coppell,03/03/2025,04/28/2025,56.0,,,,,,,Dallas,Dallas County WDA,03/03/2025,,,,,,
Texas,"LUKE Holdings, Inc.(Laredo)",Laredo,03/03/2025,02/28/2025,73.0,,,,,,,Webb,South Texas WDA,03/03/2025,,,,,,
Texas,"LUKE Holdings, Inc. (El Paso)",El Paso,03/03/2025,02/28/2025,227.0,,,,,,,El Paso,Borderplexjobs WDA,03/03/2025,,,,,,
Texas,MVM,El Paso,02/26/2025,03/18/2025,247.0,,,,,,,El Paso,Borderplexjobs WDA,02/26/2025,,,,,,
Texas,"MVM, Inc. (McAllen)",McAllen,02/26/2025,03/18/2025,132.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,02/26/2025,,,,,,
Texas,Houston Refining LP (2025),Houston,02/25/2025,04/17/2025,345.0,,,,,,,Harris,Gulf Coast WDA,02/25/2025,,,,,,
Texas,Christus Health Santa Rosa Medical Center,San Antonio,02/24/2025,04/25/2025,479.0,,,,,,,Bexar,Alamo WDA,02/24/2025,,,,,,
Texas,L3Harris Technologies (JAVA MAN Program),Rockwall,02/24/2025,04/22/2025,179.0,,,,,,,Rockwall,North Central Texas WDA,02/24/2025,,,,,,
Texas,Southwest - Dallas Lovefield Airport,Dallas,02/19/2025,04/22/2025,626.0,,,,,,,Dallas,Dallas County WDA,02/19/2025,,,,,,
Texas,Neiman Marcus-One Marcus Square,Dallas,02/19/2025,03/31/2025,1.0,,,,,,,Dallas,Dallas County WDA,02/19/2025,,,,,,
Texas,Raices,San Antonio,02/18/2025,02/12/2025,61.0,,,,,,,Bexar,Alamo WDA,02/18/2025,,,,,,
Texas,"Graphic Solutions, Inc. (Spring Valley)",Dallas,04/23/2025,06/13/2025,64.0,,,,,,,Dallas,Dallas County WDA,04/23/2025,,,,,,
Texas,"Graphic Solutions, Inc (Welch Rd)",Dallas,04/23/2025,06/13/2025,2.0,,,,,,,Dallas,Dallas County WDA,04/23/2025,,,,,,
Texas,Graphic Solutuions Inc. (Farmers Branch),Farmers Branch,04/23/2025,06/13/2025,5.0,,,,,,,Dallas,Dallas County WDA,04/23/2025,,,,,,
Texas,MedStar Mobile Healthcare,Fort Worth,04/16/2025,07/01/2025,589.0,,,,,,,Tarrant,Tarrant County WDA,04/16/2025,,,,,,
Texas,Virtex Enterprises LP,Austin,04/16/2025,06/14/2025,84.0,,,,,,,Travis,Capital Area WDA,04/16/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)San Felipe,Houston,04/08/2025,03/31/2025,36.0,,,,,,,Harris,Gulf Coast WDA,04/08/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)Louisiana Street,Houston,04/08/2025,,6.0,,,,,,,Harris,Gulf Coast WDA,04/08/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)Collins Road,Richmond,04/08/2025,03/31/2025,2.0,,,,,,,Fort Bend,Gulf Coast WDA,04/08/2025,,,,,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)South Loop West,Houston,04/08/2025,03/31/2025,1.0,,,,,,,Harris,Gulf Coast WDA,04/08/2025,,,,,,
Texas,US Cellular Corporation,Wichita Falls,04/08/2025,06/02/2025,1.0,,,,,,,Archer,Heart of Texas WDA,04/08/2025,,,,,,
Texas,"Movate, Inc.",Temple,04/08/2025,05/31/2025,51.0,,,,,,,Bell,North Central Texas WDA,04/08/2025,,,,,,
Texas,Raices (April 2025),San Antonio,04/08/2025,04/02/2025,159.0,,,,,,,Bexar,Alamo WDA,04/08/2025,,,,,,
Texas,Southeast Service Corporation Services for Education (Georgetown ISD),Georgetown,04/02/2025,05/31/2025,60.0,,,,,,,Williamson,,04/02/2025,,,,,,
Texas,Envision Physician Services LLC,San Antonio,04/02/2025,05/31/2025,120.0,,,,,,,Bexar,Alamo WDA,04/02/2025,,,,,,
Texas,Denali,Plano,04/02/2025,06/02/2025,28.0,,,,,,,Collin,North Central Texas WDA,04/02/2025,,,,,,
Texas,VF's Dickies Headquarters,Fort Worth,03/26/2025,05/30/2025,125.0,,,,,,,Tarrant,Tarrant County WDA,03/26/2025,,,,,,
Texas,American Bar Association (ProBAR),Harlingen,03/26/2025,05/19/2025,191.0,,,,,,,Cameron,Cameron County WDA,03/26/2025,,,,,,
Texas,Waco Family Medicine (Meyer Center),Waco,03/26/2025,03/21/2025,52.0,,,,,,,McLennan,Heart of Texas WDA,03/26/2025,,,,,,
Texas,SouthState Bank,McKinney,03/26/2025,05/31/2025,141.0,,,,,,,Collin,North Central Texas WDA,03/26/2025,,,,,,
Texas,Durhan School Services-Wichita Falls,Wichita Falls,03/26/2025,06/30/2025,1.0,,,,,,,Archer,North Texas WDA,03/26/2025,,,,,,
Texas,Waco Family Medicine (Bell's Hill),Waco,03/26/2025,03/21/2025,52.0,,,,,,,McLennan,Heart of Texas WDA,03/26/2025,,,,,,
Texas,Waco Familly Medicine (MCC),Waco,03/26/2025,03/21/2025,52.0,,,,,,,McLennan,Heart of Texas WDA,03/26/2025,,,,,,
Texas,"BH Security, LLC DBA Brinks Home",Dallas,03/19/2025,06/30/2025,61.0,,,,,,,Dallas,Dallas County WDA,03/19/2025,,,,,,
Texas,"Church World Service, Inc.",Houston,03/18/2025,02/03/2025,63.0,,,,,,,Harris,Gulf Coast WDA,03/18/2025,,,,,,
Texas,"C&S Family of Companies (GSC Wholesale, LLC)",Houston,03/17/2025,03/14/2025,21.0,,,,,,,Harris,Gulf Coast WDA,03/17/2025,,,,,,
Texas,Texana Center (Building A) Airport Service Center,Rosenberg,05/28/2025,05/21/2025,27.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center (Building B) Airport Service Center,Rosenberg,05/28/2025,05/21/2025,25.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
