state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Ohio,"UPDATED Eagle Machining - First Brands Group, LLC",Fayette/Fulton,1/27/2026 12/29/2025,1/27/2026,251,Closure,Phone: (330) 980-0677 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1769548431/jfs.ohio.gov/warn/WARN%202025/Updated_Eagle_Machining_First_Brands.pdf
Ohio,"BH Security, LLC",Unknown City/Unknown Counties,3/17/2025,6/30/2025,4,Layoff,Phone: (972) 243-7443 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/BHSecurityLLC.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,3/14/2025,5/13/2025,5,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC5.pdf
Ohio,Compass Group USA,Youngstown/Mahoning,2/28/2025,5/5/2025,53,Closure,Phone: (313) 570-2581 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CompassGroupUSAInc.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,2/28/2025,4/29/2025; 6/24/2025,18,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC4Revised.pdf
Ohio,"Worthington Samuel Coil Processing, LLC",Cleveland/Cuyahoga,2/27/2025,03/02/2025-03/31/2025,55,Closure,Phone: (216) 259-0504 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/WorthingtonSamuelCoilProcessingLLC.pdf
Ohio,Kuehne + Nagel Inc.,Urbana/Champaign,2/21/2025,4/30/2025,57,Closure,Phone: (803) 847-7337 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Kuehne_NagelInc.pdf
Ohio,Harvest Sherwood Food Distributors,Maple Heights/Cuyahoga,2/19/2025,4/21/2025,273,Closure,Phone: (313) 659-7660 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/HarvestSherwoodFoodDistributors.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,2/14/2025,4/15/2025; 6/24/2025,78,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC3Revised.pdf
Ohio,Big Lots Inc.,Columbus/Franklin,2/14/2025 12/19/2024,12/29/2024-04/15/2025,533,Closure,Phone: (614) 278-7066 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/BigLotsHeadquarters2.pdf
Ohio,American Freight,Delaware/Delaware,2/12/2025,5/1/2025,19,Layoff,Phone: (740)363-2222 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AmericanFreight2.pdf
Ohio,Ohio Recovery Center,Van Wert/Van Wert,2/11/2025,02/14/2025-03/09/2025,85,Closure,Phone: (617) 302-3487 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/OhioRecoveryCenter.pdf
Ohio,True Value LLC,Westlake/Cuyahoga,2/7/2025,04/08/2025-04/22/2025,82,Closure,Phone: (773) 695-5027 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/TrueValueLLC2.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,1/30/2025,4/1/2025,87,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC2.pdf
Ohio,Air Wisconsin,Dayton/Montgomery,1/30/2025,3/31/2025,201,Layoff,Phone: (920) 749-4244 | Union: IAM; ALPA; AFA | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AirWisconsin.pdf
Ohio,Jo Ann Omni Fulfillment Center,West Jefferson/Madison,1/27/2025,3/31/2025,116,Closure,Phone: (330) 463-6684 | Union: United Steelworkers; Local 48432 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/JoAnnOmniFulfillmentCenter.pdf
Ohio,Jo Ann Distribution Center,Hudson/Summit,1/27/2025,3/31/2025,359,Closure,Phone: (330) 463-6684 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/JoAnnDistributionCenter.pdf
Ohio,Tarkett USA Inc,Middlefield/Geauga,1/24/2025,2/28/2025,92,Closure,Phone: (216) 515-1621 | Union: Local 507 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/TarkettUSAInc.pdf
Ohio,Charter Communications,Akron/Summit,1/22/2025,3/28/2025,259,Closure,Phone: (203) 428-0112 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CharterCommunications2.pdf
Ohio,Midmark Corporation,Leesburg/Highland,1/15/2025,03/28/2025; 05/30/2025; 08/01/2025; 12/31/2025,76,Closure,Phone: (419) 790-8900 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MidmarkCorporation.pdf
Ohio,"Jo-Ann Stores Support Center, Inc",Hudson/Summit,1/24/2025,03/15-29/2025; 3/31-4/14/2025; 4/30-5/14/2025; 5/30-6/13/2025,662,Closure,Phone: (330) 463-6684 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/JoAnnStoresSupportCenterInc2.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,1/17/2025,3/18/2025,174,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC1.pdf
Ohio,Jack Cooper Transport Company,Sheffield Village/Lorain,1/13/2025,2/2/2025,61,Closure,Phone: (844) 677-2178 | Union: Local 964 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/JackCooperTransportCompany.pdf
Ohio,Xellia Pharmaceuticals,Bedford/Cuyahoga,1/13/2025,03/28/2025-05/26/2025,3,Layoffs,Phone: 4526143591 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/XelliaPharmaceuticalsUpdated2.pdf
Ohio,"Zin Technologies, Inc",Middleburg Heights/Cuyahoga,1/9/2025,03/1/2025-03/14/2025,27,Layoff,Phone: (917) 740-0353 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/ZinTechnologiesInc2.pdf
Ohio,"Nitto, Inc",Piqua/Miami,1/8/2025,03/01/2025-09/30/2025,147,Closure,Phone: (937) 773-4820 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/NittoInc.pdf
Ohio,UtiliQuest,Worthington/Franklin,1/6/2025,01/04/2025-01/18/2025,24,Layoff,Phone: (678) 528-0897 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UtiliQuest.pdf
Ohio,Advanced Specialty Hospitals of Toledo,Toledo/Lucas,4/9/2026,6/8/2026,116,Closure,Phone: (419) 381-0037 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1775847051/jfs.ohio.gov/warn/WARN%202026/AdvancedSpecialtyHospitalsofToledo.pdf
Ohio,Astrion,Beavercreek/Greene,2/9/2026,5/31/2026,61,Layoff,Phone: (276) 254-1004 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1770735265/jfs.ohio.gov/warn/WARN%202026/Astrion.pdf
Ohio,"Boelter Companies, LLC",Toledo/Lucas,3/10/2026,05/11/2026-05/29/2026,64,Closure,Phone: (419) 460-2764 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1773165164/jfs.ohio.gov/warn/WARN%202026/BoelterCompaniesInc.pdf
Ohio,"Conn-Selmer, Inc",Eastlake/Lake,4/9/2026,6/30/2026,150,Closure,Phone: (574) 366-3369 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1775760650/jfs.ohio.gov/warn/WARN%202026/ConnSelmerInc.pdf
Ohio,"Day & Ross USA, Inc",Hamilton/Butler,3/25/2026,5/30/2026,100,Layoff,Phone: (586) 623-9950 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1774539368/jfs.ohio.gov/warn/WARN%202026/Day_RossUSAInc.pdf
Ohio,Double Tree Cleveland,Cleveland/Cuyahoga,1/6/2026,01/28/2026-01/30/2026,66,Closure,Phone: (703) 389-2992 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1767803703/jfs.ohio.gov/warn/WARN%202026/DoubleTreeClevelandCrescentHotelsResorts.pdf
Ohio,Down-Lite Internaional Inc,Mason/Warren,4/28/2026,06/19/2026-07/02/2026,164,Closure,Phone: (513) 229-6346 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1777477149/jfs.ohio.gov/warn/WARN%202026/Down-LiteInternationalInc.pdf
Ohio,Evergreen Recycling LLC,Clyde/Sandusky,2/24/2026,02/24/2026-04/24/2026,163,Closure,Phone: No Number | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1772053686/jfs.ohio.gov/warn/WARN%202026/Evergreen_RecyclingLLC.pdf
Ohio,First Brands Group Cuyahoga,Cleveland/Cuyahoga,2/23/2026,2/23/2026,146,Layoff,Phone: (833) 434-2557 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1771966685/jfs.ohio.gov/warn/WARN%202026/FirstBrandsGroup.pdf
