state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,address,contact_person,collective_bargaining_unit
Virginia,Bering Global Solutions (BGS),"Arlington, VA",03/18/2026,06/30/2026,108,Layoff,,"701 S Courthouse Rd, Arlington, VA 22204",Kat Stevens,"Kent Emery, President, kemery@quspu.com; Lonnie Davis, Vice President, comedianl@yahoo.com; Mike Martin, Union Representative, michaeltyronema@gmail.com; John Rymes, Union Representative, johnrhymes@icloud.com"
Virginia,C2 Technologies,"McLean, VA",03/02/2026,03/06/2026,2,Layoff,,"7601 Lewinsville Road, Suite 200, McLean, VA 22102",Felicity Booker,
Virginia,Saks & Company LLC (Saks Fifth Avenue Store),"McLean, VA",03/06/2026,05/06/2026,70,Closure,,"2051 International Drive, McLean, VA 22102",Dana Schwatzenfeld,
Virginia,"Speyside Bourbon Cooperage in Virginia, Inc.","Atkins, VA",02/23/2026,04/23/2026,52,Layoff,,"6373 Lee Highway, Atkins, VA 24311",Drew Brock,
Virginia,AOL,"Reston, VA",02/17/2026,03/01/2026,108,Layoff,,"11955 Democracy Drive, 14th Floor, Reston, VA 20190",James Murphy,
Virginia,Huntington Ingall Industries (HII) Mission Technologies,"Virginia Beach, VA",02/17/2026,04/17/2026,74,Layoff,,"12730 Fair Lakes Circle, Fairfax , VA 22033",Neela Guthrie,
Virginia,JC Penney,"Springfield, VA",02/18/2026,05/29/2026,74,Closure,,"6699 Springfield Mall, Springfield, VA 22150",Kristin Bowling,
Virginia,Saks & Company LLC (Saks Fifth Avenue Store),"Richmond, VA",02/10/2026,04/11/2026,40,Closure,,"9214 Stony Point Parkway, Richmond, VA 23235",Janet Lee,
Virginia,Liberty Dental Plan Corporation,"Staunton, VA",02/05/2026,04/06/2026,0,Layoff,,"1730 Flight Way, Suite 125, Tustin, CA 92782",Robin Wiessner,
Virginia,Bahama Breeze,"Woodbridge, VA",02/03/2026,04/05/2026,62,Closure,,"2714 Potomac Mills Circle, Woodbridge, VA 22192",Megan Robinson,
Virginia,Bear Express LLC,"Norfolk & Virginia Beach, VA",01/27/2026,04/01/2026,168,Closure,,"1400 Sewells Point Road, Norfolk, VA 23502",Matthew Poulos,
Virginia,PMI-U.S. Corporate Services (Phillip Morris),"Richmond, VA",01/28/2026,04/17/2026,135,Closure,,"1021 E. Cary Street #1600, Richmond, VA 23219",Susan Woodard,
Virginia,Amazon,"Fairfax, Franconia, Lorton, Alexandria & Falls church, VA",01/28/2026,04/27/2026,691,Layoff,,"10360 Fairfax Blvd, Fairfax, VA 22030",Lindsey Winter,
Virginia,Leidos,"Ashburn, VA",01/21/2026,03/23/2026,93,Layoff,,"22001 Loudoun County Parkway, Ashburn, VA 20147",Sharday Torres,
Virginia,"Yokohama Tire Manufacturing Virginia, LLC","Salem, VA",01/16/2026,03/18/2026,533,Closure,,"1500 Indiana Street, Salem, VA 24153",Adam Bruce,"The United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, Local Union 1203. Steve Jones, chief elected officer, United Steelworkers, USW Local 1023, 116 W. Riverside Dr., Salem, VA 24153"
Virginia,SMBC Manubank,"Various, VA",01/08/2026,03/10/2026,6,Closure,,"277 Park Avenue, New York, NY 10172",Robin Milberg,
Virginia,Railcrew Xpress (RCX),"Richmond, VA",12/22/2025,02/27/2026,26,Closure,,"101 Armour Road, Suite B, North Kansas City, MO 64116",Tara Johnson,
Virginia,"AeroFarms, Inc. - Rescinded","Ringgold, VA",04/29/2026,05/14/2026,133,Closure,,"1526 Cane Creek Parkway, Ringgold, VA 24586",Carlos Nunez,
Virginia,Giant Delivers,"Manassas, VA",12/12/2025,02/10/2026,90,Closure,,"7413 Cushing Road, Suite 160, Manassas, VA 20109",Joe Urban,"Sean M. O'Brian, General President International Brotherhood of Teamsters, Local639, 25 Louisiana Ave., NW Washington, DC2000 & Milton Jones, President, United Food & Commercial Workers International Union, Local 400, 1775 K St., NW, Washingotn, DC2006"
Virginia,Richmond Print Group,"Richmond, VA",12/09/2025,02/08/2026,76,Layoff,,"8000 Villa Park Drive, Richmond, VA 23228",Shane Hillmer,
Virginia,Fortrex,"Martinsville, VA",12/02/2025,12/05/2025,68,Layoff,,"1050 Crown Pointe Parkway, Suite 1000, Atlanta, GA 30338",Nicholas Wallace,
Virginia,"10 Roads Express, LLC","Harrisonburg, VA",12/01/2025,01/30/2026,70,Closure,,"888 Auto Motion Way, Harrisonburg, VA 22801",Aaron Gunderson,
Virginia,Harris Teeter,"Franconia, VA",11/18/2025,02/01/2026,91,Closure,,"6306 Gravel Avenue, Franconia, VA 22310",Angie Danielewicz,
Virginia,Amazon-BWI1,"Sterling, VA",11/14/2025,01/30/2026,247,Closure,,"45121 Global Plaza, Sterling, VA 20166",Lindsay Winter,
Virginia,"Diamond Transportation Services, Inc.","Springfield, VA",11/07/2025,11/30/2025,61,Closure,,"6851 Industrial Road, Springfield, VA 22151",Jahaira Zagarell,"Amalgamated Transit Union Local 689 (“ATU 689”) 2701 Whitney Place, Forestville, MD 20747. Raymond Jackson, agent/president email: rjackson@atu689.org or International Brotherhood Teamsters Local 639 (“IBT 639”) 3100 Ames Place N.E., Washington, D.C. 20018. Ronald Davis, agent email: davis@local639.org"
Virginia,"Wellmore Energy Compny, LLC","Big Rock, VA",10/31/2025,12/31/2025,9,Layoff,,"1073 Riverview Street, Grundy, VA 24616",Gary Prater,
Virginia,Qbase LLC,"Reston, VA",10/31/2025,12/30/2025,60,Closure,,"11950 Democracy Drive, Reston, VA 20190",Davida Gray,
Virginia,Top Guard Security,"Richmond, VA",10/23/2025,10/31/2025,79,Closure,,"10100 Iron Bridge Road, Suite 102, Chesterfield, VA 23832",Theresa Morris,
Virginia,"Wellmore Energy Company, LLC","Grundy, VA",10/06/2025,12/06/2025,2,Layoff,,"3461 Belchers Fork Road, Grundy, VA 24614",Gary Prater,
Virginia,"Wellmore Energy, LLC (Paw Paw 2 South)","Big Rock, VA",10/06/2025,12/06/2025,95,Layoff,,"3113 Old Rock Lick Road, Big Rock, VA 24603",Gary Prater,
Virginia,United States Patent and Trademark Office (USPTO),"Alexandria, VA",10/14/2025,12/09/2025,126,Closure,,"600 Dulany Avenue, Alexandria, VA 22314",Carolyn Schad,
Virginia,Merrifield Garden Center Corp,"Manassas, VA",10/17/2025,12/31/2025,97,Closure,,"6895 Wellington Road, Manassas, VA 20109",David Watkins,
Virginia,SimplyIOA LLC,"Spotsylvania, VA",10/03/2025,12/02/2025,1,Closure,,"1855 West State Road 434, Longwood , FL 32750",Amanda Russ,
Virginia,"Home Care Delivered, Inc.","Glen Allen, VA",10/06/2025,12/10/2025,73,Layoff,,"11013 West Broad Street, 4th Floor, Glen Allen, VA 23060",Maggie Smith,
Virginia,Peraton,"Reston, VA",10/03/2025,12/05/2025,92,Layoff,,"1875 Explorer St, Reston, VA 20190",Brittany Dellinger,
Virginia,Sentara Health,"Virginia Beach, VA",10/03/2025,12/05/2025,127,Layoff,,"1300 Sentara Park, Virginia Beach, VA 23464",Jacqueline Scott,
Virginia,"ImmunityBio, Inc.","Halifax Co. , VA",09/18/2025,11/17/2025,1,Layoff,,"25 DeFost Avenue, Summit, NJ 07901",Emily Arison,
Virginia,Parkdale,"Hillsville, VA",08/26/2025,10/24/2025,68,Closure,,"531 Cotton Blossom Circle, Gastonia, NC 28054",Karen Menting,
Virginia,Paradies Lagardere,"Arlington, VA",08/28/2025,09/26/2025,55,Closure,,"2401 Smith Blvd, Arlington, VA 22202",Dino Venianakis,"Unite Here Local 23 Washington DC Chapter, Anthony Randolph, President, 275 7th Ave., 16th Fl., New York, New York 10001"
Virginia,Butler Human Services a Sauder Manufacturing Co. Brand,"Chase City , VA",08/25/2025,10/24/2025,51,Closure,,"239 B Street, Chase City, VA 23924",Micah Frankenfield,
Virginia,Lutheran Social Services National Capital Area (LSSNA),"Fairfax & Woodbridge, VA",08/11/2025,09/30/2025,52,Layoff,,"1730 Rhode Island Avenue NW, Washington, DC 20036",Peter Loew,
Virginia,"Wellmore Energy Company, LLC","Big Rock, VA",08/04/2025,10/04/2025,17,Layoff,,"1073 Riverview Street, Grundy, VA 24614",Tammy Fields,
Virginia,"Wellmore Energy Company, LLC","Hurley, VA",07/07/2025,09/06/2025,27,Layoff,,"1073 Riverview Street, Grundy, VA 24614",Gary Prater,
Virginia,Atlantic Dominion Distributors,"Williamsburg & Virginia Beach, VA 23462, VA",07/30/2025,09/26/2025,104,Closure,,"5400 Virginia Beach Blvd, Virginia Beach, VA 23462",Andrea Tanner,
Virginia,Rochambeau Logistics Inc.,"Hampton, VA",07/22/2025,07/25/2025,63,Closure,,"61 Floyd Thompson Dr, Hampton, VA 23666",Jeff Aldridge,
Virginia,KIRA Services and KIRA Training Services (TLINGIT HAIDA Tribal Business Corporation),"Virginia Beach, VA",07/15/2025,08/11/2025,46,Layoff,,"601 Oceana Blvd, Virginia Beach, VA 23460",Frances Adragna-Hayes,"International Union of Electrical Workers/Communications Workers of America (IUE-CWA) local 83225, Eric Benjamin, (775) 232-2843, ericbenjamin09@gmail.com"
Virginia,Omniplex World Services Corp.,"Chantilly, VA",07/14/2025,07/31/2025,199,Closure,,"25316 Prediction Lane, Chantilly, VA 20152",Tanni Wiersema,
Virginia,"Amentum, Operations and Maintenance Services","Richmond, VA",07/02/2025,08/31/2025,56,Layoff,,"6601 West Broad Street, Richmond, VA 23230",Dan Feldman,
Virginia,"Emerson Automation Solutions (Intelligent Platforms, LLC)","Charlottesville, VA",06/26/2025,12/31/2025,87,Layoff,,"2500 Austin DR, Charlottesville, VA 22911",Megan Ambrose,
Virginia,CarParts.com,"Chesapeake, VA",06/09/2025,08/08/2025,104,Closure,,"2601 Indian River RD, Chesapeake, VA 23325",Cari Graham,
Virginia,Kroger,"Charlottesville, VA",06/20/2025,08/22/2025,81,Closure,,"1904 Emmet ST, Charlottesville, VA 22901",Kroger Mid-Atlantic,"UFCW Local 400, Mark Federici, 8400 Corporate Dr., #200, Landover, MD 20785"
Virginia,Nakupuna,"Arlington, VA",06/09/2025,06/30/2025,103,Layoff,,"251 18th Street S., Arlington, VA 22202",Ret Grady,
Virginia,"TransAxle, LLC","Richmond and Springfield, VA",05/16/2025,07/15/2025,10,Layoff,,"2501 Route 73 S, Cinnaminson, NJ 08077",Human Resources,
Virginia,Leidos QTC,"Reston, VA",06/13/2025,08/15/2025,77,Layoff,,"924 Overland CT, San Dimas, CA 91773",Amy Freeman,
Virginia,"Molina Healthcare of Virginia, Inc.","Richmond, VA",05/13/2025,06/30/2025,268,Closure,,"3829 Gaskins Road, Richmond, VA 23233",Cristina Siepel,
Virginia,Old Dominion Job Corps Center,"Monroe, VA",06/03/2025,06/30/2025,130,Closure,,"1073 Father Judge RD, Monroe, VA 24574",Tiffanie Francillon,
Virginia,The Kenific Group LLC dba Pantheon Data,"Arlington, VA",05/13/2025,05/12/2025,155,Closure,,"305 Harrison Street, SE, Leesburg, VA 20175",Cheri Hostetler,
Virginia,Saddle Creek Logistics Services,"Richmond, VA",05/09/2025,07/01/2025,54,Layoff,,"3010 Saddle Creek Road, Lakeland, FL 33801",Stacey Loyd,
Virginia,Georgia-Pacific LLC,"Emporia, VA",05/02/2025,07/01/2025,554,Closure,,"133 Peachtree Street NE, Atlanta, GA 30348",Hadiya Gayle,"International Association of Machinists and Aerospace Workers, Larry Battle, President of Local W331, 819 W. 21st St., Suite 100, Norfolk, VA 23517"
Virginia,"Goldschmitt and Associates, LLC","Sterling, VA",04/24/2025,05/01/2025,217,Layoff,,"21515 Ridgetop Circle, Sterling, VA 20166",Anne Dodson,
Virginia,"United States Cellular (""USCC"")","Various, VA",03/26/2025,06/02/2025,95,Layoff,,"Various, , VA",Izik Youker,
Virginia,American Institutes of Research (AIR),"Arlington, VA",04/02/2025,06/01/2025,84,Layoff,,"Arlington, VA",Lesley Sepanloo,
Virginia,MITRE Corporation,"McLean, VA",04/02/2025,06/03/2025,442,Layoff,,"7515 Colshire Drive, McLean, VA 22102",Julie Bowen,
Virginia,Novelis Inc.,"Richmond, VA",03/31/2025,05/30/2025,72,Closure,,"3550 Peachtree Road NE, Atlanta, GA 30326",Lauren Houdek,
Virginia,King Abdullah,"Herndon, VA",03/31/2025,07/31/2025,162,Closure,,"2949 Education Dr, Herndon, VA 20171",­­­­­­­­­­Salwa Linjawi,
Virginia,Leidos,"Alexandria, VA",03/31/2025,05/30/2025,29,Layoff,,"1750 Presidents St, Reston, VA 20190",Karey Jamison,
Virginia,Goodyear,"Danville, VA",01/31/2025,04/02/2025,815,Layoff,,"200 Innovation Way, Akron, OH 44316",Jennifer Vernon,"United Steelworkers, Local 831, J.L. Pete Morton, President, 285 Shady Grove Road, Providence, NC 27315; Emil Ramirez, International Vice President, 60 Boulevard of the Allies, Pittsburgh, PA 15222"
Virginia,International Foundation for Electoral Systems,"Arlington, VA",03/11/2025,03/02/2025,48,Layoff,,"2011 Crystal Drive, Arlington, VA 22202",Natasha Campbell,
Virginia,Amazon MAK7 Facility,"Manassas, VA",03/12/2025,05/13/2025,88,Closure,,"Manassas, VA",Cabell Wagner,
Virginia,"Speyside Bourbon Cooperage, INC.","Atkins, VA",02/28/2025,04/30/2025,75,Layoff,,"960 Main St, Jackson, OH 45640",Drew Brooks,
Virginia,American Institutes of Research (AIR),"Arlington, VA",03/11/2025,05/09/2025,149,Layoff,,"1400 Crystal Dr, Arlington, VA 22202",Lesly Sepanloo,
Virginia,Management Science for Health (MSH),"Arlington, VA",02/07/2025,02/04/2025,182,,,"4201 Wilson Boulevard, Arlington, VA 22203",Kathryn Erskine,
Virginia,"D&A Consulting Service, LLC dba GetInsured","Virginia, VA",01/21/2025,02/19/2025,35,Permanent Reduction,,"7908 Point Hollow Dr, Richmond, VA 23227",Elena Fuller,
Virginia,American Woodmark Corporation,"Orange, VA",01/07/2025,03/24/2025,131,Closure,,"561 Shady Elm Road, Winchester, VA 22602",Eric Miller,
Virginia,"Nitto, Inc","Chesapeake, VA",01/08/2025,03/07/2025,86,Closure,,"809 Principal Ct, Chesapeake, VA 23320",Becky Carroll,
